선수명,생년월일,출신교,출신,연도,팀명,타율,경기,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도실,볼넷,사구,삼진,병살,실책
가르시아,1975년 05월 20일,미국 산토도밍고고,미국,2002,한화,0.26,24,73,7,19,3,1,2,30,8,5,3,4,0,20,1,8
가르시아,1975년 10월 29일,멕시코 아비에르타고-롯데,멕시코,2008,롯데,0.283,125,460,68,130,25,2,30,249,111,2,1,48,3,100,10,4
가르시아,1975년 10월 29일,멕시코 아비에르타고-롯데,멕시코,2009,롯데,0.266,130,467,72,124,29,1,29,242,84,4,3,62,5,124,11,6
가르시아,1975년 10월 29일,멕시코 아비에르타고-롯데,멕시코,2010,롯데,0.252,118,429,73,108,16,1,26,204,83,3,0,49,2,123,4,5
가르시아,1975년 10월 29일,멕시코 아비에르타고-롯데,멕시코,2011,한화,0.246,72,268,37,66,12,0,18,132,61,1,5,24,0,55,5,5
가코,1981년 01월 02일,미국 스탠포드대,미국,2011,삼성,0.243,58,189,21,46,8,0,1,57,28,0,1,22,5,34,12,1
강광회,1968년 06월 23일,건국대,한국,1990,태평양,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
강광회,1968년 06월 23일,건국대,한국,1993,쌍방울,0.5,9,4,1,2,0,0,0,2,0,1,0,0,0,1,0,0
강광회,1968년 06월 23일,건국대,한국,1994,쌍방울,0.333,17,3,3,1,0,0,0,1,0,0,1,0,0,1,0,0
강귀태,1979년 08월 12일,서화초-동산중-동산고-동국대-현대-우리-히어로즈-넥센-KIA,한국,2002,현대,0.272,74,147,17,40,8,0,1,51,16,0,2,2,2,20,3,4
강귀태,1979년 08월 12일,서화초-동산중-동산고-동국대-현대-우리-히어로즈-넥센-KIA,한국,2003,현대,0.256,66,117,19,30,6,0,3,45,12,1,1,10,1,16,5,2
강귀태,1979년 08월 12일,서화초-동산중-동산고-동국대-현대-우리-히어로즈-넥센-KIA,한국,2004,현대,0.284,84,141,10,40,6,1,4,60,21,1,2,9,1,32,1,3
강귀태,1979년 08월 12일,서화초-동산중-동산고-동국대-현대-우리-히어로즈-넥센-KIA,한국,2005,현대,0.264,104,265,30,70,12,0,8,106,38,2,0,26,4,38,9,4
강귀태,1979년 08월 12일,서화초-동산중-동산고-동국대-현대-우리-히어로즈-넥센-KIA,한국,2006,현대,0.299,73,144,18,43,5,0,4,60,18,0,2,9,0,20,7,1
강귀태,1979년 08월 12일,서화초-동산중-동산고-동국대-현대-우리-히어로즈-넥센-KIA,한국,2007,현대,0.231,55,108,5,25,8,0,0,33,6,0,0,5,0,13,5,0
강귀태,1979년 08월 12일,서화초-동산중-동산고-동국대-현대-우리-히어로즈-넥센-KIA,한국,2008,우리,0.249,104,261,19,65,6,2,4,87,22,1,1,13,1,28,7,7
